ID;Emergency;Gap;TargetTime
#a1sd;0;5;2012-12-07 14:54:00
#a2xd;0;7;2012-12-07 14:49:00
#a3sd;0;5;2012-12-07 14:50:00
#a4xd;0;3;2012-12-07 14:47:00
#a5sd;0;5;2012-12-07 14:54:00
#a6xd;0;7;2012-12-07 14:49:00
#a7sd;0;5;2012-12-07 14:42:00
#a8xd;0;3;2012-12-07 14:48:00
#a9sd;0;5;2012-12-07 14:41:00
#a10d;0;5;2012-12-07 14:35:00
#a11d;0;5;2012-12-07 14:32:00
#a12d;0;7;2012-12-07 14:38:00
#a13d;1;5;2012-12-07 14:31:00
#a14d;0;5;2012-12-07 14:25:00
#a15d;0;5;2012-12-07 14:22:00
#a16d;0;7;2012-12-07 14:28:00
#a17d;1;5;2012-12-07 14:19:00
#a18d;0;5;2012-12-07 14:23:00
#a19d;0;5;2012-12-07 14:18:00
#a20d;0;5;2012-12-07 14:19:00
